epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,5083.65,0.84,0.66609,0.95923,0.84723,0.66268,0.74493,0.53675,1.05836,0.98779,1.08043,4.2143e-05,4.2143e-05,4.2143e-05
41,5206.38,0.81281,0.59059,0.94021,0.78375,0.6866,0.73845,0.53342,1.05207,0.9991,1.07768,3.848e-05,3.848e-05,3.848e-05
42,5327.19,0.80117,0.56626,0.93725,0.80847,0.68479,0.74468,0.53606,1.05397,0.99492,1.08039,3.4817e-05,3.4817e-05,3.4817e-05
43,5448.26,0.7981,0.56152,0.93665,0.82907,0.68081,0.74423,0.53578,1.05322,0.98673,1.07701,3.1154e-05,3.1154e-05,3.1154e-05
44,5568.4,0.7921,0.56187,0.93368,0.81739,0.67911,0.73944,0.53619,1.04982,0.99478,1.07427,2.7491e-05,2.7491e-05,2.7491e-05
45,5691,0.78766,0.55435,0.93071,0.83478,0.67595,0.74074,0.5366,1.04872,0.99597,1.07697,2.3828e-05,2.3828e-05,2.3828e-05
46,5811.13,0.77834,0.54694,0.92929,0.78663,0.69991,0.74395,0.53692,1.04968,0.97943,1.0756,2.0165e-05,2.0165e-05,2.0165e-05
47,5932.63,0.77826,0.53752,0.92865,0.79656,0.69489,0.74509,0.53964,1.05164,0.98188,1.07981,1.6502e-05,1.6502e-05,1.6502e-05
48,6053.34,0.77298,0.53909,0.92377,0.79985,0.70042,0.74525,0.53983,1.04435,0.97683,1.07507,1.2839e-05,1.2839e-05,1.2839e-05
49,6173.94,0.76949,0.53372,0.92466,0.83225,0.66984,0.74531,0.5406,1.04584,0.98444,1.07583,9.176e-06,9.176e-06,9.176e-06
50,6295.23,0.77108,0.53531,0.9232,0.76733,0.70487,0.7433,0.53885,1.04563,0.97664,1.07837,5.513e-06,5.513e-06,5.513e-06
